Job Title,Company,Location,Posted
Senior Data Engineer,Alqen, Worldwide,2024-04-12
Principal Software Engineer Data Scientist,Cardlytics, Probably worldwide,2022-03-09
Principal Software Engineer Applied Science Data Science,Cardlytics, Probably worldwide,2022-02-25
Marketing Data Scientist,Recast, United States,2021-12-28
Machine learning engineer for large scale ML project,OneSecondDelivery, Latin America,2021-10-31
Data Scientist,Ampcontrol, Worldwide,2021-04-14
Staff Data Scientist,Shopify, Canada,2021-04-09
Senior Data Scientist,Shopify, United States,2021-04-09
Senior Data Scientist,NannyML, Europe,2021-03-29
Technical Community Manager,Iterative, Worldwide,2020-10-29
Backend Developer Data Scientist,komoot, Europe,2020-10-23
Marketing Data Analyst,Automattic, Probably worldwide,2016-11-16
Software Developer,EcoHealth Alliance, United States,2015-02-24
Software Developer,EcoHealth Alliance, United States,2015-02-24
DevOps Engineer,EcoHealth Alliance, United States,2015-02-24
DevOps Engineer,EcoHealth Alliance, United States,2015-02-24
